deneyim;egitim;skill;test_skoru;etiket
6;3;7;72;uygun
3;4;11;96;uygun
10;2;13;85;uygun
7;4;8;78;uygun
4;3;0;49;degil
6;1;12;72;uygun
9;2;4;72;uygun
2;1;7;61;degil
6;3;14;100;uygun
10;3;10;95;uygun
10;3;13;93;uygun
7;1;1;44;degil
4;1;3;48;degil
3;1;6;53;degil
7;1;2;53;degil
7;3;12;100;uygun
2;3;15;100;uygun
5;2;11;85;uygun
4;2;4;72;uygun
1;1;7;76;degil
7;4;11;100;uygun
5;4;9;81;uygun
1;3;2;63;degil
4;3;3;57;uygun
0;3;13;100;uygun
9;2;14;84;uygun
5;2;8;80;uygun
8;3;13;94;uygun
0;3;13;100;uygun
10;3;6;82;uygun
10;4;0;70;uygun
9;2;13;82;uygun
2;4;11;84;uygun
6;4;3;78;uygun
3;3;3;69;uygun
8;3;8;86;uygun
2;1;5;57;degil
4;1;15;82;uygun
2;4;8;82;uygun
6;2;11;92;uygun
4;3;14;92;uygun
8;3;5;69;uygun
6;4;5;85;uygun
1;1;4;56;degil
3;2;4;64;degil
8;1;1;54;degil
1;1;7;64;degil
9;1;7;72;uygun
8;1;10;73;uygun
9;3;15;98;uygun
4;3;12;81;uygun
1;1;0;36;degil
3;2;7;76;uygun
6;4;4;62;uygun
7;2;1;52;degil
2;2;13;96;uygun
0;2;15;92;uygun
3;1;1;58;degil
1;3;13;94;uygun
7;2;14;83;uygun
3;1;14;84;uygun
1;2;5;62;degil
5;2;15;100;uygun
5;1;10;79;uygun
9;3;12;97;uygun
3;3;8;81;uygun
5;4;0;68;uygun
1;1;11;72;uygun
9;4;5;76;uygun
1;4;8;74;uygun
9;4;7;75;uygun
3;3;10;82;uygun
7;1;5;62;uygun
6;4;2;63;uygun
8;1;7;66;uygun
7;1;8;59;uygun
4;3;0;57;degil
1;4;11;100;uygun
4;4;8;76;uygun
7;1;13;90;uygun
9;2;15;89;uygun
8;3;14;100;uygun
8;3;15;100;uygun
0;3;5;67;degil
8;3;5;73;uygun
6;4;11;86;uygun
8;4;3;69;uygun
7;2;0;59;degil
0;3;9;86;uygun
7;3;7;84;uygun
7;1;15;86;uygun
10;4;1;71;uygun
2;3;11;96;uygun
0;2;0;50;degil
7;2;1;47;degil
2;4;0;54;degil
2;2;0;47;degil
0;2;8;73;uygun
10;4;12;91;uygun
4;3;13;98;uygun
9;3;0;60;uygun
6;2;12;92;uygun
9;2;3;56;uygun
8;3;9;79;uygun
6;4;5;73;uygun
8;2;6;59;uygun
7;1;1;52;degil
1;4;5;82;uygun
0;2;6;60;degil
6;2;9;83;uygun
6;1;13;77;uygun
7;1;9;65;uygun
4;3;1;61;degil
2;4;14;100;uygun
7;4;1;61;uygun
5;3;9;89;uygun
10;4;6;77;uygun
